krb5-locales	1.22.1-2ubuntu4.1	all	optional
libacl1	2.3.2-2	amd64	required
libaio1t64	0.3.113-8build1	amd64	optional
libapparmor1	5.0.2-0ubuntu1~26.04.1	amd64	optional
libappstream5	1.1.2-1	amd64	optional
libapt-pkg7.0	3.2.0	amd64	important
libassuan9	3.0.2-2build1	amd64	optional
libatomic1	16-20260322-1ubuntu1	amd64	optional
libattr1	1:2.5.2-4ubuntu0.1	amd64	optional
libaudit-common	1:4.1.2-1build1	all	required
libaudit1	1:4.1.2-1build1	amd64	required
libbinutils	2.46-3ubuntu2	amd64	optional
libblkid1	2.41.3-3ubuntu2.2	amd64	optional
libbpf1	1:1.6.3-1ubuntu1	amd64	optional
libbpfcc	0.35.0+ds-1ubuntu2	amd64	optional
libbrotli1	1.2.0-3build1	amd64	optional
libbsd0	0.12.2-2build2	amd64	required
libbz2-1.0	1.0.8-6ubuntu0.1	amd64	important
libc-bin	2.43-2ubuntu2.4	amd64	required
libc-dev-bin	2.43-2ubuntu2.4	amd64	optional
libc-gconv-modules-extra	2.43-2ubuntu2.4	amd64	optional
libc6	2.43-2ubuntu2.4	amd64	optional
libc6-dev	2.43-2ubuntu2.4	amd64	optional
libcap-ng0	0.8.5-4build5	amd64	required
libcap2	1:2.75-10ubuntu2	amd64	optional
libcap2-bin	1:2.75-10ubuntu2	amd64	important
libcbor0.10	0.10.2-2ubuntu3	amd64	optional
libclang-cpp21	1:21.1.8-6ubuntu1	amd64	optional
libclang1-21	1:21.1.8-6ubuntu1	amd64	optional
libcom-err2	1.47.2-3ubuntu4	amd64	required
libcrypt1	1:4.5.1-1	amd64	required
libcryptsetup12	2:2.8.4-1ubuntu4	amd64	optional
libctf-nobfd0	2.46-3ubuntu2	amd64	optional
libctf0	2.46-3ubuntu2	amd64	optional
libcurl3t64-gnutls	8.18.0-1ubuntu2.7	amd64	optional
libcurl4t64	8.18.0-1ubuntu2.7	amd64	optional
libdb5.3t64	5.3.28+dfsg2-10ubuntu1	amd64	required
libdbus-1-3	1.16.2-2ubuntu4	amd64	optional
libdebconfclient0	0.280ubuntu1	amd64	required
libdebuginfod-common	0.194-4	all	optional
libdebuginfod1t64	0.194-4	amd64	optional
libdevmapper-event1.02.1	2:1.02.205-2ubuntu3	amd64	optional
libdevmapper1.02.1	2:1.02.205-2ubuntu3	amd64	optional
libdrm-common	2.4.131-1	all	optional
libdrm2	2.4.131-1	amd64	optional
libduktape207	2.7.0+tests-0ubuntu4	amd64	optional
libdw1t64	0.194-4	amd64	optional
libeatmydata1	131-2build1	amd64	optional
libedit2	3.1-20251016-1	amd64	optional
libefiboot1t64	39-2	amd64	optional
libefivar1t64	39-2	amd64	optional
libelf1t64	0.194-4	amd64	optional
libevdev2	1.13.6+dfsg-1	amd64	optional
libexpat1	2.7.4-1ubuntu0.2	amd64	optional
libext2fs2t64	1.47.2-3ubuntu4	amd64	required
libfdisk1	2.41.3-3ubuntu2.2	amd64	optional
libffi8	3.5.2-4	amd64	optional
libfido2-1	1.16.0-2build1	amd64	optional
libfreetype6	2.14.2+dfsg-1ubuntu0.1	amd64	optional
